,geometry,color,mw,plantName,year
1575,"5714    POLYGON ((362407.750 4114649.390, 362344.096 4...
5715    POLYGON ((362407.750 4114649.390, 362344.096 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",13219137.0,Surry-NUC,2018
774,"5714    POLYGON ((362361.050 4114649.390, 362297.621 4...
5715    POLYGON ((362361.050 4114649.390, 362297.621 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",13172437.0,Surry-NUC,2010
26,"6657    POLYGON ((268344.817 4216147.102, 268281.752 4...
6658    POLYGON ((268344.817 4216147.102, 268281.752 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",13096754.0,North Anna-NUC,2001
870,"5714    POLYGON ((362218.093 4114649.390, 362155.353 4...
5715    POLYGON ((362218.093 4114649.390, 362155.353 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",13029480.0,Surry-NUC,2011
679,"5714    POLYGON ((362198.255 4114649.390, 362135.610 4...
5715    POLYGON ((362198.255 4114649.390, 362135.610 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",13009642.0,Surry-NUC,2009
29,"5714    POLYGON ((361850.989 4114649.390, 361790.016 4...
5715    POLYGON ((361850.989 4114649.390, 361790.016 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",12662376.0,Surry-NUC,2001
864,"6657    POLYGON ((267766.580 4216147.102, 267706.300 4...
6658    POLYGON ((267766.580 4216147.102, 267706.300 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",12518517.0,North Anna-NUC,2011
408,"5714    POLYGON ((361688.971 4114649.390, 361628.778 4...
5715    POLYGON ((361688.971 4114649.390, 361628.778 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",12500358.0,Surry-NUC,2006
1260,"5714    POLYGON ((360978.339 4114649.390, 360921.568 4...
5715    POLYGON ((360978.339 4114649.390, 360921.568 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",11789726.0,Surry-NUC,2015
170,"5714    POLYGON ((360220.511 4114649.390, 360167.389 4...
5715    POLYGON ((360220.511 4114649.390, 360167.389 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",11031898.0,Surry-NUC,2003
