,geometry,color,mw,plantName,year
26,"6657    POLYGON ((268344.817 4216147.102, 268281.752 4...
6658    POLYGON ((268344.817 4216147.102, 268281.752 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",13096754.0,North Anna-NUC,2001
29,"5714    POLYGON ((361850.989 4114649.390, 361790.016 4...
5715    POLYGON ((361850.989 4114649.390, 361790.016 4...
dtype: geometry","(0.08627450980392157, 1.0, 0.0196078431372549, 1)",12662376.0,Surry-NUC,2001
2,"5681     POLYGON ((297105.939 4139937.730, 297066.874 4...
5682     POLYGON ((297105.939 4139937.730, 297066.874 4...
26156    POLYGON ((297105.939 4139937.730, 297066.874 4...
26157    POLYGON ((297105.939 4139937.730, 297066.874 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",8112635.0,Chesterfield-BIT,2001
14,"7527    POLYGON ((176483.317 4086749.144, 176451.150 4...
7528    POLYGON ((176483.317 4086749.144, 176451.150 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",6680121.0,Clover-BIT,2001
45,"26159    POLYGON ((388030.272 4070270.512, 388009.964 4...
26163    POLYGON ((388030.272 4070270.512, 388009.964 4...
26164    POLYGON ((388030.272 4070270.512, 388009.964 4...
26165    POLYGON ((388030.272 4070270.512, 388009.964 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",4217382.0,Chesapeake-BIT,2001
33,"26170    POLYGON ((372437.376 4119656.739, 372427.369 4...
26171    POLYGON ((372437.376 4119656.739, 372427.369 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",2078193.0,Yorktown-BIT,2001
3,"5704     POLYGON ((302726.043 4267831.113, 302718.818 4...
26166    POLYGON ((302726.043 4267831.113, 302718.818 4...
26167    POLYGON ((302726.043 4267831.113, 302718.818 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",1500430.0,Possum Point-RFO,2001
0,"5683    POLYGON ((290448.221 4139937.730, 290441.215 4...
5684    POLYGON ((290448.221 4139937.730, 290441.215 4...
5685    POLYGON ((290448.221 4139937.730, 290441.215 4...
5686    POLYGON ((290448.221 4139937.730, 290441.215 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",1454917.0,Chesterfield-NG,2001
32,"26152    POLYGON ((-17948.157 4152148.272, -17955.102 4...
26153    POLYGON ((-17948.157 4152148.272, -17955.102 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",1442278.0,Glen Lyn-BIT,2001
48,"10661    POLYGON ((285993.059 4188752.705, 285986.775 4...
10662    POLYGON ((285993.059 4188752.705, 285986.775 4...
10663    POLYGON ((285993.059 4188752.705, 285986.775 4...
10664    POLYGON ((285993.059 4188752.705, 285986.775 4...
10665    POLYGON ((285993.059 4188752.705, 285986.775 4...
10666    POLYGON ((285993.059 4188752.705, 285986.775 4...
10667    POLYGON ((285993.059 4188752.705, 285986.775 4...
10668    POLYGON ((285993.059 4188752.705, 285986.775 4...
10669    POLYGON ((285993.059 4188752.705, 285986.775 4...
dtype: geometry","(0.9294117647058824, 0.40784313725490196, 0.14901960784313725, 1)",1304859.32,Doswell Energy Center-NG,2001
20,"10916    POLYGON ((286271.603 4148190.087, 286265.467 4...
10917    POLYGON ((286271.603 4148190.087, 286265.467 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",1274299.248,Spruance Operating Services LLC-BIT,2001
34,"27431    POLYGON ((184973.375 4056304.680, 184969.741 4...
27432    POLYGON ((184973.375 4056304.680, 184969.741 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",754686.0,Mecklenburg Power Station-BIT,2001
52,"10353    POLYGON ((305694.532 4285314.985, 305691.659 4...
10354    POLYGON ((305694.532 4285314.985, 305691.659 4...
dtype: geometry","(0.1411764705882353, 0.38823529411764707, 0.8784313725490196, 1)",596655.0,Covanta Fairfax Energy-MSW,2001
21,"27023    POLYGON ((299230.350 4129891.595, 299228.359 4...
27024    POLYGON ((299230.350 4129891.595, 299228.359 4...
dtype: geometry","(0.0, 0.0, 0.0, 1)",413517.732,James River Genco LLC-BIT,2001
27,"10844    POLYGON ((329454.157 4061112.526, 329452.392 4...
27487    POLYGON ((329454.157 4061112.526, 329452.392 4...
27488    POLYGON ((329454.157 4061112.526, 329452.392 4...
27489    POLYGON ((329454.157 4061112.526, 329452.392 4...
27490    POLYGON ((329454.157 4061112.526, 329452.392 4...
27491    POLYGON ((329454.157 4061112.526, 329452.392 4...
27492    POLYGON ((329454.157 4061112.526, 329452.392 4...
dtype: geometry","(0.4117647058823529, 0.4, 0.39215686274509803, 1)",366641.464,International Paper Franklin Mill-BLQ,2001
